#,name,start,end,length
R117,トサキント,118.1.00,119.1.00,1.0.00
R118,アズマオウ,119.1.00,120.1.00,1.0.00
R119,ヒトデマン,120.1.00,121.1.00,1.0.00
R120,スターミー,121.1.00,122.1.00,1.0.00
R121,バリヤード,122.1.00,123.1.00,1.0.00
R122,ストライク,123.1.00,124.1.00,1.0.00
R123,ルージュラ,124.1.00,125.1.00,1.0.00
R124,エレブー,125.1.00,126.1.00,1.0.00
R125,ブーバー,126.1.00,127.1.00,1.0.00
R126,カイロス,127.1.00,128.1.00,1.0.00
R127,ケンタロス,128.1.00,129.1.00,1.0.00
R128,コイキング,129.1.00,130.1.00,1.0.00
R129,ギャラドス,130.1.00,131.1.00,1.0.00
R130,ラプラス,131.1.00,132.1.00,1.0.00
R131,メタモン,132.1.00,133.1.00,1.0.00
R132,イーブイ,133.1.00,134.1.00,1.0.00
R133,シャワーズ,134.1.00,135.1.00,1.0.00
R134,サンダース,135.1.00,136.1.00,1.0.00
R135,ブースター,136.1.00,137.1.00,1.0.00
R136,ポリゴン,137.1.00,138.1.00,1.0.00
R137,オムナイト,138.1.00,139.1.00,1.0.00
R138,オムスター,139.1.00,140.1.00,1.0.00
R139,カブト,140.1.00,141.1.00,1.0.00
R140,カブトプス,141.1.00,142.1.00,1.0.00
R141,プテラ,142.1.00,143.1.00,1.0.00
R142,カビゴン,143.1.00,144.1.00,1.0.00
R143,フリーザー,144.1.00,145.1.00,1.0.00
R144,サンダー,145.1.00,146.1.00,1.0.00
R145,ファイヤー,146.1.00,147.1.00,1.0.00
R146,ミニリュウ,147.1.00,148.1.00,1.0.00
R147,ハクリュー,148.1.00,149.1.00,1.0.00
R148,カイリュー,149.1.00,150.1.00,1.0.00
R149,ミュウツー,150.1.00,151.1.00,1.0.00
R150,ミュウ,151.1.00,152.1.00,1.0.00
