kana	romaji	english	kanji
ぱ	pa
ぴ	pi
ぷ	pu
ぺ	pe
ぽ	po
かんぱい	kanpai	cheers	乾杯
しんぴん	shinpin	brand new	新品
てんぷら	tenpura	tempura	天麩羅
かんぺき	kanpeki	perfect	完璧
ぺこぺこ	pekopeko	hungry
ぺらぺら	perapera	fluent
ぽかぽか	pokapoka	warm
しんぱい	shinpai	worry	心配
はんぱ	hanpa	half	半端
ぱちぱち	pachipachi	clapping
ぽつぽつ	potsupotsu	drizzle	ぽつぽつ
ぽんぽん	ponon	lightly	ぽんぽん
ぽんかん	ponkan	ponkan (fruit)	椪柑
ぱりぱり	paripari	crispy	ぱりぱり
はんぺん	hanpen	fish cake	半片
